smiles,p_standard_value
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,5.892789840698242
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,5.634511947631836
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCCO4)C2)cc1,6.337242126464844
Brc1ccc(C2=NN(c3nc(-c4ccc(Br)cc4)cs3)C(c3ccc4c(c3)OCO4)C2)cc1,6.744727611541748
Brc1ccc2[nH]nc(-c3ccccc3)c2c1,5.8000006675720215
Brc1ccc2c(c1)-c1[nH]ncc1C2,5.099999904632568
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,5.318758964538574
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,3.6595559120178223
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,5.8000006675720215
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.619789123535156
C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.721246719360352
C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,5.7695512771606445
C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)nc(F)nc21,6.443697452545166
C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,6.552842140197754
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.259637355804443
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.116338729858398
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1O,7.0
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCCCCCCC(=O)NO)cc23)ccc1F,7.0
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,5.8000006675720215
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,4.929962158203125
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7.804100513458252
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,6.568636417388916
C#Cc1cccc(Nc2ncnc3cc(O)c(OCCCCCCC(=O)NO)cc23)c1,7.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)CCCCCCC(=O)NO)cc23)c1,7.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCC(=O)NO)cc23)c1,7.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,7.415668964385986
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(=O)NO)cc23)c1,7.160521984100342
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7.280195236206055
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OC)cc23)c1,7.120330810546875
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OCCOC)cc23)c1,7.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.628269672393799
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.768275737762451
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,6.602059841156006
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,6.602059841156006
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,6.481485843658447
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,6.638272285461426
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,6.537601947784424
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,6.537601947784424
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,5.954677104949951
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,6.031517028808594
C#Cc1cccc(Nc2ncnc3ccc(-c4cnn(C)c4)cc23)c1,6.229147911071777
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,6.019088268280029
C#Cc1cccc(Nc2ncnc3ccc(OCCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,5.677780628204346
C#Cc1cccc(Nc2ncnc3ccc(OCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,6.721246242523193
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,7.180456161499023
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,5.4685211181640625
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,5.828858852386475
C#Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,8.154901504516602
C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4CNCCO4)c23)c1,7.698969841003418
C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,5.4202165603637695
C/C(=C1\C(=O)Nc2ccccc21)c1ccc(N2CCCCC2)cc1,4.0
C/C(=C\c1c(C)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1)C(=O)NCCN1CCOCC1,7.091515064239502
C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,4.667359352111816
C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,5.346787452697754
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.03941011428833
C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.664401531219482
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.817071914672852
C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,5.917214393615723
